feature_set,model,feature,importance_kind,mean_abs_importance,std_abs_importance,n_folds
aux,elasticnet_cv,extra__mpv_area_cv,coefficient,0.029328357651687155,0.048550568048265616,5
aux,elasticnet_cv,extra__pgv_mean_diameter,coefficient,0.028977988162270756,0.0367196572116021,5
aux,elasticnet_cv,extra__lgv_length,coefficient,0.02895247435219232,0.05790494870438464,5
aux,elasticnet_cv,extra__lgv_mean_diameter,coefficient,0.02703824622324529,0.04018105825480466,5
aux,elasticnet_cv,aux__area_conservation_bifurc_deviation,coefficient,0.026973022436781124,0.05394604487356225,5
aux,elasticnet_cv,aux__tips_stent_diameter_mm,coefficient,0.026399321193938202,0.03652543374278063,5
aux,elasticnet_cv,extra__tips_mean_diameter,coefficient,0.02639728072298319,0.036518346602631216,5
aux,elasticnet_cv,extra__pgv_max_curvature,coefficient,0.026010762191780595,0.022232355766331986,5
aux,elasticnet_cv,aux__sv_max_to_mpv_max_diam_ratio__present,coefficient,0.024270088749450747,0.030032724515258336,5
aux,elasticnet_cv,aux__pvt_severity_grade__present,coefficient,0.024265986875138312,0.030028993985003073,5
aux,elasticnet_cv,aux__min_lumen_area_to_max_ratio_mpv__present,coefficient,0.02426331466907234,0.03002580757908332,5
aux,elasticnet_cv,aux__mpv_taper_coefficient__present,coefficient,0.02426120692184821,0.03002320641887695,5
aux,elasticnet_cv,aux__mpv_min_max_diameter_ratio__present,coefficient,0.024260343275432604,0.030021972182794215,5
aux,elasticnet_cv,extra__tips_mean_area,coefficient,0.024177121552782215,0.03393292179173625,5
aux,elasticnet_cv,extra__pgv_max_diameter,coefficient,0.023949665883610798,0.017826635880462606,5
aux,elasticnet_cv,extra__mpv_mean_diameter,coefficient,0.02155523767535201,0.043110475350704024,5
aux,elasticnet_cv,extra__sv_length,coefficient,0.020267159830983487,0.03303148123355214,5
aux,elasticnet_cv,extra__mpv_mean_circularity,coefficient,0.019077224053082847,0.028342665069426266,5
aux,elasticnet_cv,extra__lgv_mean_circularity,coefficient,0.018315980868426153,0.023192555366330872,5
aux,elasticnet_cv,extra__mpv_max_curvature,coefficient,0.0182149737260951,0.028458192315324076,5
aux,elasticnet_cv,aux__angle_mpv_bifurc_total,coefficient,0.016549177762877017,0.03309835552575404,5
aux,elasticnet_cv,extra__rpv_mean_diameter,coefficient,0.016233096224176326,0.02187761378926351,5
aux,elasticnet_cv,extra__rpv_mean_area,coefficient,0.016157287094627066,0.019406727359398118,5
aux,elasticnet_cv,aux__angle_mpv_rpv,coefficient,0.015429277274869788,0.027315964365814974,5
aux,elasticnet_cv,extra__lpv_tortuosity,coefficient,0.014450936354564731,0.02737885913339391,5
aux,elasticnet_cv,aux__pvt_severity_grade,coefficient,0.014409601949182272,0.018647150934406213,5
